what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316076746030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316076746480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076768293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316076769140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076778281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076796278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076804255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076846758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1316076853081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316076855243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076866500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076866687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1316076868477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076881334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076898168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076902267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076903901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076910341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076911678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076925328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076928540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076946549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076946734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076951330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076955348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316076965235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1316076969518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316076977456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316076993418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077002090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077115530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077122922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077128804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077129101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077131874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077135039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077135966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077141752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077143765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077154445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077156928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316077158192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077178999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077179370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077189575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077189772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077191722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077192953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316077194685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1316077196865
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1316077198242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077211209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077270182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316077278307
